"","episode","start_time","end_time","actor","text","vox_machina","guest","staff","matt","arc","arc_no","time_in_secs","word_count","words_per_ms","turn_number","actor_Guest"
"11",12,870.284,872.881,"MATT","we have taliesin, who plays percy in our campaign.",0,0,0,1,"Kraghammer",1,2.59699999999998,10,0.00385059684251062,11,"MATT"
"12",12,872.881,874.468,"TALIESIN","greetings. hello.",1,0,0,0,"Kraghammer",1,1.58699999999999,3,0.00189035916824198,12,"TALIESIN"
"13",12,874.468,876.782,"MATT","we have orion, who plays tiberius in our campaign.",0,0,0,1,"Kraghammer",1,2.31400000000008,10,0.00432152117545361,13,"MATT"
"14",12,876.782,878.359,"ORION","good evening, everyone.",1,0,0,0,"Kraghammer",1,1.577,4,0.00253646163601776,14,"ORION"
"15",12,878.359,881.196,"MATT","and the birthday boy, liam o'brien.",0,0,0,1,"Kraghammer",1,2.83699999999999,8,0.00281988015509342,15,"MATT"
"16",12,881.196,882.058,"LIAM","oh, hi!",1,0,0,0,"Kraghammer",1,0.861999999999966,3,0.00348027842227392,16,"LIAM"
"17",12,883.853,887.869,"MARISHA","may birthdays for the win.",1,0,0,0,"Kraghammer",1,4.01600000000008,6,0.00149402390438244,17,"MARISHA"
"18",12,887.869,890.859,"MATT","so we have the support team here from critical role to offer suggestions, answer questions, and help these other guys here i'm going to introduce in a second with their character creation for the end of the evening. i'm going to completely improvise on the spot a short game for these fellows, and we'll see how that pans out. for some of them, their first game of d&d. we shall see how that goes. so let's go ahead and introduce on this side of the table. we have dan casey.",0,0,0,1,"Kraghammer",1,2.99000000000001,96,0.0321070234113711,18,"MATT"
"19",12,910.003,911.493,"DAN","hello!",0,1,0,0,"Kraghammer",1,1.49000000000001,2,0.00134228187919462,19,"GUESTS"
"20",12,911.493,912.389,"MARISHA","dan casey!",1,0,0,0,"Kraghammer",1,0.895999999999958,3,0.00334821428571444,20,"MARISHA"
"21",12,912.389,913.392,"DAN","how are you doing?",0,1,0,0,"Kraghammer",1,1.00300000000004,5,0.00498504486540358,21,"GUESTS"
"22",12,913.392,915.738,"MARISHA","dan casey, everybody. dan casey in the house!",1,0,0,0,"Kraghammer",1,2.346,9,0.00383631713554987,22,"MARISHA"
"23",12,915.738,916.96,"TALIESIN","there we go. dan casey.",1,0,0,0,"Kraghammer",1,1.22199999999998,6,0.00490998363338797,23,"TALIESIN"
"24",12,916.96,920.161,"MARISHA","yeah, dan casey.",1,0,0,0,"Kraghammer",1,3.20099999999991,4,0.00124960949703221,24,"MARISHA"
"25",12,920.161,924.229,"MATT","right over yonder.",0,0,0,1,"Kraghammer",1,4.0680000000001,4,0.000983284169124854,25,"MATT"
"26",12,924.229,926.397,"MARISHA","hollywood squares.",1,0,0,0,"Kraghammer",1,2.16800000000001,3,0.00138376383763837,26,"MARISHA"
"27",12,926.397,927.412,"ORION","oh.",1,0,0,0,"Kraghammer",1,1.01499999999999,2,0.00197044334975372,27,"ORION"
"28",12,927.412,933.703,"DAN","circle takes the square! what's up, guys?",0,1,0,0,"Kraghammer",1,6.29099999999994,9,0.00143061516452076,28,"GUESTS"
"29",12,933.703,935.754,"MATT","what's your experience with roleplaying games?",0,0,0,1,"Kraghammer",1,2.05100000000004,8,0.00390053632374443,29,"MATT"
"30",12,935.754,941.489,"DAN","i am sort of a lapsed d&d player. i played a lot of 3.5. i played some ad&d back in the day, when i had no idea what the term thac0 meant, at all. i still don't.",0,1,0,0,"Kraghammer",1,5.73500000000001,42,0.00732345248474279,30,"GUESTS"
"31",12,944.444,946.866,"MATT","nobody still, to this day, knows.",0,0,0,1,"Kraghammer",1,2.42200000000003,7,0.00289017341040459,31,"MATT"
"32",12,946.866,949.319,"DAN","it's an eldritch mystery not meant to be known by the likes of men.",0,1,0,0,"Kraghammer",1,2.45299999999997,16,0.00652262535670614,32,"GUESTS"
"33",12,950.132,951.958,"MATT","yes, completely agree. thankfully, that's gone now.",0,0,0,1,"Kraghammer",1,1.82600000000002,9,0.00492880613362535,33,"MATT"
"34",12,951.958,955.404,"DAN","exactly! yeah. so i've been playing a little bit recently. i just started a pathfinder campaign with some friends, so i have a working knowledge, but i'm a little rusty, i would say.",0,1,0,0,"Kraghammer",1,3.44600000000003,36,0.0104468949506674,34,"GUESTS"
"35",12,959.738,964.228,"MATT","okay. no worries. we'll try and get you up to speed on that. we have in the middle here, dressed so eloquently, our fantastic overlord, zac eubank.",0,0,0,1,"Kraghammer",1,4.4899999999999,29,0.00645879732739436,35,"MATT"
"36",12,970.191,975.884,"ZAC","i am the snugglelord! there have been none before me and there will be none after. i am the snugglelord.",0,0,1,0,"Kraghammer",1,5.69299999999998,21,0.00368874055858072,36,"ZAC"
"37",12,978.108,980.65,"MATT","it has been decreed, here and now.",0,0,0,1,"Kraghammer",1,2.54200000000003,8,0.00314712824547597,37,"MATT"
"38",12,980.65,984.127,"LIAM","you killed and skinned a unicorn.",1,0,0,0,"Kraghammer",1,3.47699999999998,7,0.00201322979580099,38,"LIAM"
"39",12,984.127,985.594,"ZAC","you can stop.",0,0,1,0,"Kraghammer",1,1.4670000000001,4,0.00272665303340132,39,"ZAC"
"40",12,985.594,986.563,"MATT","okay.",0,0,0,1,"Kraghammer",1,0.968999999999937,2,0.00206398348813223,40,"MATT"
"41",12,988.093,993.591,"MATT","our third party member of the newcomers tonight is in transit, as well, and should be here shortly. should we introduce them or wait until they get here? what do you think?",0,0,0,1,"Kraghammer",1,5.49800000000005,33,0.00600218261185881,41,"MATT"
"42",12,998.186,1001.81,"ZAC","how are you doing, ify? how's it going, man? oh, good.",0,0,1,0,"Kraghammer",1,3.62399999999991,13,0.00358719646799126,42,"ZAC"
"43",12,1001.81,1003.261,"DAN","cloak of invisibility.",0,1,0,0,"Kraghammer",1,1.45100000000002,4,0.00275671950379045,43,"GUESTS"
"44",12,1003.261,1005.57,"ORION","it's called ""giant penis jokes.""",1,0,0,0,"Kraghammer",1,2.30900000000008,7,0.00303161541792973,44,"ORION"
"45",12,1005.57,1012.138,"MATT","there you go. we'll have ify here shortly. ify, as i know, plays d&d and knows it pretty well, so we're not losing any speed by continuing without him. to begin now, before we go, we have a few gifts here that came in.",0,0,0,1,"Kraghammer",1,6.56799999999998,48,0.00730816077953717,45,"MATT"
"46",12,1019.083,1020.473,"MARISHA","we have more gifts?",1,0,0,0,"Kraghammer",1,1.38999999999999,5,0.00359712230215831,46,"MARISHA"
"47",12,1020.473,1027.08,"MATT","i've got here an inflatable cthulu beard for the dungeon master, so when i feel like going full eldritch horror on you guys, i'll have a nice visual tool to help i'm wondering if you can eat through it.",0,0,0,1,"Kraghammer",1,6.60699999999997,43,0.00650824882700169,47,"MATT"
"48",12,1033.411,1037.548,"MARISHA","i kind of think that the idea was so that you can be clarota.",1,0,0,0,"Kraghammer",1,4.13699999999994,15,0.00362581580855697,48,"MARISHA"
"49",12,1037.548,1039.649,"MATT","right! i'm totally doing that next game.",0,0,0,1,"Kraghammer",1,2.10099999999989,9,0.00428367444074274,49,"MATT"
"50",12,1039.649,1041.079,"MARISHA","i kind of think that's what they were going for.",1,0,0,0,"Kraghammer",1,1.43000000000006,12,0.00839160839160802,50,"MARISHA"
"51",12,1041.079,1042.518,"MATT","that's true. i should do that now.",0,0,0,1,"Kraghammer",1,1.43900000000008,9,0.0062543432939538,51,"MATT"
"52",12,1042.518,1043.882,"TALIESIN","but can you eat through it?",1,0,0,0,"Kraghammer",1,1.36400000000003,7,0.00513196480938404,52,"TALIESIN"
"53",12,1043.882,1045.073,"MARISHA","but can you eat?",1,0,0,0,"Kraghammer",1,1.19100000000003,5,0.00419815281276228,53,"MARISHA"
"54",12,1045.073,1047.827,"MATT","i can strain food through it, is what it looks like.",0,0,0,1,"Kraghammer",1,2.75399999999991,12,0.00435729847494568,54,"MATT"
"55",12,1047.827,1049.231,"MARISHA","can we blow it up? can we try it out?",1,0,0,0,"Kraghammer",1,1.404,11,0.00783475783475785,55,"MARISHA"
"56",12,1049.231,1054.183,"MATT","go for it. yeah. there are tiny mouth holes that are all segmented, so it'd have to be a fine paste or a liquid bakery item i could push through.",0,0,0,1,"Kraghammer",1,4.952,32,0.00646203554119548,56,"MATT"
"57",12,1058.921,1060.595,"DAN","just pull it forward slightly and pour soup in.",0,1,0,0,"Kraghammer",1,1.67399999999998,10,0.00597371565113508,57,"GUESTS"
"58",12,1060.595,1062.93,"MATT","perfect. this will work out well.",0,0,0,1,"Kraghammer",1,2.33500000000004,7,0.00299785867237683,58,"MATT"
"59",12,1062.93,1065.493,"TALIESIN","it will keep the bay leaf out. that's very useful.",1,0,0,0,"Kraghammer",1,2.56299999999987,12,0.00468201326570448,59,"TALIESIN"
"60",12,1065.493,1071.086,"MATT","also, somebody presented this fantastic glittery dragon dungeon master mug that i'm enjoying my delicious beverage out of. so this is delightful, and it's getting all over my hands, so don't question it later. it's the mug. i haven't been out late with strippers.",0,0,0,1,"Kraghammer",1,5.59300000000007,50,0.00893974611121032,60,"MATT"
"61",12,1082.309,1086.133,"MARISHA","uh-huh. dragon strippers.",1,0,0,0,"Kraghammer",1,3.82400000000007,5,0.00130753138075311,61,"MARISHA"
"62",12,1086.133,1088.106,"MATT","dragon strippers. those are the most expensive.",0,0,0,1,"Kraghammer",1,1.97299999999996,8,0.0040547389761785,62,"MATT"
"63",12,1088.106,1089.696,"TALIESIN","they work for scale.",1,0,0,0,"Kraghammer",1,1.58999999999992,5,0.00314465408805048,63,"TALIESIN"
"64",12,1092.157,1093.55,"TALIESIN","there you are.",1,0,0,0,"Kraghammer",1,1.39300000000003,4,0.00287150035893748,64,"TALIESIN"
"65",12,1093.55,1099.595,"MATT","also, this awesome crocheted beholder bag.",0,0,0,1,"Kraghammer",1,6.04500000000007,7,0.00115798180314308,65,"MATT"
"66",12,1099.595,1101.809,"ORION AND TALIESIN","oh my god.",1,0,0,0,"Kraghammer",1,2.21399999999994,4,0.00180668473351405,66,"ORION AND TALIESIN"
"67",12,1101.809,1106.948,"MATT","as representation of our fantastic boss battle with k'varn last week. i'm going to find many cool things to put inside of this. or just wear it when i'm alone at home. and nothing else. it'll be great.",0,0,0,1,"Kraghammer",1,5.13900000000012,43,0.00836738665109923,67,"MATT"
"68",12,1114.122,1114.949,"ORION","and nothing else?",1,0,0,0,"Kraghammer",1,0.826999999999998,4,0.00483675937122129,68,"ORION"
"69",12,1114.949,1119.416,"MATT","yeah. just this. it's got the right texture. no. this is awesome. thank you guys so much. these are amazing. we had a few more gifts come in as well, but they're party-centric, to the whole group, and i want to wait until we have everyone here before we distribute those, so for those of you who have sent those gifts, you know who you are, next week we'll be unveiling those when everyone is present because i think they deserve it. also, there was a letter that because our boss battle ran long last week, i didn't get a chance to read on air, but i'd like to read it for you guys right now. from one of our fans.",0,0,0,1,"Kraghammer",1,4.46699999999987,128,0.0286545780165668,69,"MATT"
"70",12,1145.009,1146.731,"MARISHA","that's hot, right?",1,0,0,0,"Kraghammer",1,1.72199999999998,5,0.00290360046457611,70,"MARISHA"
"71",12,1146.731,1150.187,"MATT","we'll talk later. ""dear amazing, talented, giving, friendly, sociable cast of critical role: with all ""those adjectives in the salutation, it might be hard to write a letter, but i will do my best. ""thank you, thank you, a thousand times thank you for giving us so much of your time each week. i ""mention it frequently that your performances call back to the golden age of radio and the large-cast ""performance dramas of the '20s and '40s."" those were awesome times! ""we're all aware how busy you are, with work as well as family, yet you're able to visit us each ""week. on the rare instances your obligations prevent you from entertaining us, you've ""frequently joined us in chat, and liam has stopped in a couple of times during other shows, as well. ""your frequent drops in during the week are always a welcome surprise. the amount of involvement by ""you and the community is surprising, considering how busy you are, although not unexpected when you ""make it so abundantly clear that you care about us and enjoy your interactions with us."" aw. you make me all touched, here. ""there is a more collective statement about the entire community that is team hooman, but i really ""lose myself in a sense of awe at this community and how much we give and how supportive we are."" which is very, very true. you guys are incredible. ""thank you so very much for being part of it and ""contributing to it. you are all proving to be amazing examples of hoomanity and are inspiring us ""to ever-greater things. i'm writing this letter the night of your qanda,"" which we did a couple weeks ago, ""when we crossed the 1000-shirt threshold and your generosity with your time and ""your honesty really creates a welcoming atmosphere. your reactions when we, in our own ""small ways, contribute to the stream or the charity or the fandom, are enough to melt the ""coldest heart; and really, it only encourages us to do more. watching you create this world, ""pulling out your character voices and hearing the amazing shit that comes out of matt's mouth."" that's a phrase. it's amazing shit.",0,0,0,1,"Kraghammer",1,3.4559999999999,377,0.109085648148151,71,"MATT"
"72",12,1246.126,1247.224,"MARISHA","ify!",1,0,0,0,"Kraghammer",1,1.09799999999996,2,0.00182149362477239,72,"MARISHA"
"73",12,1247.224,1248.566,"IFY","hey!",0,1,0,0,"Kraghammer",1,1.3420000000001,2,0.00149031296572269,73,"GUESTS"
"74",12,1248.566,1252.502,"MATT","there we go! in quotes, ""seriously, what the hell was that screech tonight?"" yeah, sorry about that. r.i.p. ears, i know. ""show everyone what d&d can be. not everyone is a professional voice ""actor, but you don't have to be a voice actor. you can make yourself more grandiose and gesture more. ""your body language embodies the characters just as much as your voice does, even if you don't realize ""it. i also have to thank you again for being generous enough to agree to sign the shirt for ""charity. i'm planning on cutting a loop of highlights to have running for people who might ""not be aware of critical role, but there are so many. jolene is ecstatic that this will be a part ""of their auction and i can't tell you how rewarding that single reaction has been for me. i ""can't wait to see what they're able to raise for charity with it."" so happy we could help with that. ""i would ramble on about you guys for a while, but it would merely be the disjointed ""ramblings of an overtired fan."" that's okay, we're most of our talk is disjointed ramblings of overtired performers. ""keep doing what you're doing. it is clear that you're all amazing people ""and are more than welcome to join the team hooman facebook group. ryon, felicia, zac and most of the ""twitch hosts are already there and it's generally a cool place to hang out and be supporting of ""everyone."" we'll check it out. we'll jump on that.",0,0,0,1,"Kraghammer",1,3.93599999999992,274,0.0696138211382128,74,"MATT"
"75",12,1303.151,1306.372,"ORION","i've joined it already. team hooman.",1,0,0,0,"Kraghammer",1,3.221,8,0.00248370071406395,75,"ORION"
"76",12,1306.372,1308.976,"MATT","""thank you again for being such great examples of humanity and ambassadors of geekdom. ""it is a pleasure to be able to interact with you on the internets and occasionally via the straw ""poll."" engineering tpks, well done. ""most sincerely, scott graupner, useless rogue."" thank you so much, scott, that's a wonderful letter.",0,0,0,1,"Kraghammer",1,2.60400000000004,56,0.0215053763440857,76,"MATT"
"77",12,1320.838,1322.214,"MARISHA","thanks, useless rogue!",1,0,0,0,"Kraghammer",1,1.37599999999998,4,0.0029069767441861,77,"MARISHA"
"78",12,1322.214,1323.558,"MATT","it's amazing. thank you so much.",0,0,0,1,"Kraghammer",1,1.34400000000005,8,0.00595238095238073,78,"MATT"
"79",12,1323.558,1324.689,"MARISHA","thanks, scott.",1,0,0,0,"Kraghammer",1,1.13100000000009,3,0.002652519893899,79,"MARISHA"
"80",12,1324.689,1327.813,"MATT","this is sincerely, like, and i'm gonna take a moment here just to say, the community that has sprung forth for this entire twitch stream, let alone from critical role, has been some of the most amazing and most invigorating examples of humanity i've experienced, not just on the internet, but in life in general. and, in a world which is consistently beating down your faith in humanity, this is one of those bastions of light i think that lifts me up every day i wake up. so, thank you, guys, for being as amazing you are, for tuning in and for enduring us in a week in which we're not playing games, but talking about them. so, uh",0,0,0,1,"Kraghammer",1,3.12400000000002,122,0.0390524967989754,80,"MATT"
"81",12,1354.492,1356.165,"ZAC","cool. i'm gonna poop-caboose that.",0,0,1,0,"Kraghammer",1,1.673,8,0.00478182904961147,81,"ZAC"
"82",12,1356.165,1357.103,"MATT","do it!",0,0,0,1,"Kraghammer",1,0.938000000000102,3,0.00319829424307002,82,"MATT"
"83",12,1357.103,1361.098,"ZAC","and be like: hey, guys, don't forget to subscribe. we're like seven or eight subscribers away from giving away a signed photo of the critical role cast and a signed player's handbook, because that gets us at 3,150. another 50 after that and we'll do the giveaway all over again. so get that sub train going.",0,0,1,0,"Kraghammer",1,3.99499999999989,62,0.0155193992490618,83,"ZAC"
"84",12,1375.562,1378.871,"IFY","i love that since you found a name for it you call it out.",0,1,0,0,"Kraghammer",1,3.3090000000002,15,0.00453309156844941,84,"GUESTS"
"85",12,1378.871,1379.967,"ORION","ify.",1,0,0,0,"Kraghammer",1,1.096,2,0.00182481751824817,85,"ORION"
"86",12,1379.967,1383.39,"IFY","how's it going, orion? yo, i'm about to coop-wibba-coop-wib...coop poop. coop-caboose.",0,1,0,0,"Kraghammer",1,3.423,19,0.00555068653228162,86,"GUESTS"
"87",12,1383.39,1384.472,"ZAC","nope. nope.",0,0,1,0,"Kraghammer",1,1.08199999999988,3,0.00277264325323506,87,"ZAC"
"88",12,1385.36,1386.485,"ZAC","nope! nope!",0,0,1,0,"Kraghammer",1,1.125,3,0.00266666666666667,88,"ZAC"
"89",12,1386.485,1392.787,"MATT","y'see, have the poop in da caboose and then it's overdone, y'see.",0,0,0,1,"Kraghammer",1,6.30200000000013,16,0.00253887654712784,89,"MATT"
"90",12,1392.787,1394.138,"LIAM","too soon, too soon.",1,0,0,0,"Kraghammer",1,1.35099999999989,5,0.00370096225018536,90,"LIAM"
"91",12,1394.138,1397.771,"TALIESIN","way too soon. that just conjured up some bad",1,0,0,0,"Kraghammer",1,3.63300000000004,9,0.00247729149463251,91,"TALIESIN"
"92",12,1397.829,1403.033,"MATT","i know. i know, i'm sorry. hey-oh. so, introduce yourself! ify, what you got?",0,0,0,1,"Kraghammer",1,5.20399999999995,17,0.00326671790930057,92,"MATT"
"93",12,1403.033,1409.555,"IFY","hey hey, i'm ify nwadiwe. you guys know me from mulligan. also, do stand-up comedy, acting and, y'know, kissing zac's hands.",0,1,0,0,"Kraghammer",1,6.52200000000016,26,0.00398650720637831,93,"GUESTS"
"94",12,1412.707,1415.854,"ZAC","you don't have they didn't see that; they didn't know, and",0,0,1,0,"Kraghammer",1,3.14699999999993,14,0.00444868128376241,94,"ZAC"
"95",12,1415.854,1417.371,"DAN","nature's moisturizer.",0,1,0,0,"Kraghammer",1,1.51700000000005,4,0.00263678312458791,95,"GUESTS"
"96",12,1417.371,1419.129,"MATT","you can recreate it, though.",0,0,0,1,"Kraghammer",1,1.75799999999981,6,0.00341296928327682,96,"MATT"
"97",12,1419.129,1422.156,"IFY","all right, see, i grabbed i was like, ""hey, zac."" thought it was a regular handshake. surprise! it's a kiss among brothers.",0,1,0,0,"Kraghammer",1,3.02700000000004,24,0.00792864222001971,97,"GUESTS"
"98",12,1425.239,1428.381,"LIAM","well-roleplayed, well-roleplayed.",1,0,0,0,"Kraghammer",1,3.14200000000005,5,0.00159134309357095,98,"LIAM"
"99",12,1428.381,1430.335,"DAN","that's alarming.",0,1,0,0,"Kraghammer",1,1.95399999999995,4,0.00204708290685778,99,"GUESTS"
"100",12,1430.335,1431.825,"MATT","that is a gift that will haunt you for the rest of your days, zac.",0,0,0,1,"Kraghammer",1,1.49000000000001,16,0.010738255033557,100,"MATT"
