"description","episode","time","NPC"
"Dexterity Save",79," 0:33:57","Gilmore"
"Claw Attack against Grog with advantage",79," 1:17:43","Thordak"
"Bite Attack against Vex’ahlia",79," 2:40:28","Wyvern 2"
"Constitution Save",80," 2:06:01","Devo’ssa"
"Dexterity Save",80," 2:17:20","Raishan"
"Tail against Raishan",80," 2:25:13","Devo’ssa"
"Flameskull Battle Initiative",82," 2:34:42","Kima"
"Bite against Scanlan with advantage",83,"2:10:03","Raishan"
"Unarmed Strike against Grog",85," 0:22:31","Groon"
"Dexterity Save with disadvantage",87," 1:17:56","Marid"
"Dagger against Grog with advantage",87," 1:35:49","Pirate 2"
"Rapier against Trinket",87," 1:35:59","Pirate 2"
"Constitution Save",88," 3:37:47","Kraken"
"Tentacle against Keyleth",88," 4:57:40","Kraken"
"Tail against Keyleth",93," 3:32:25","Spined Devil 3"
"Slam against Tova",93," 4:03:26","Chain Golem"
"Claw against Vex’ahlia",94," 3:37:44","Gray Render"
"Claw against Vex’ahlia",94," 3:37:47","Gray Render"
"Attack against Vax’ildan",96," 4:07:14","Shade"
"Athletics Check",96," 4:19:40","JB"
NA,100," 3:05:01","Skeleton"
"Attack against Percy",102," 2:48:09","Zombie"
"Concentration Check with advantage",102," 3:42:18","Death Knight"
"Attack against Pike",102," 3:59:42","Skeleton"
"Dexterity Save",104," 2:33:52","Angel"
"Heavy Crossbow against Sprigg with advantage",105," 2:03:30","Archer"
"Rune Blade against Vax’ildan",108," 2:33:52","Forge Guardian"
"Slam against Forge Guardian with disadvantage",108," 3:18:37","Elemental"
"Slam against Vex’ahlia",110," 1:20:14","Earth Elemental 2"
"Dexterity Save",113," 0:59:34","Gloomstalker"
"Strength Save",113," 2:53:25","Sylas"
"Attack against Vex’ahlia",113," 3:50:15","Zombie"
"Concentration Check",114," 0:47:03","Vecna"
"Concentration Check with disadvantage",114," 5:19:29","Vecna"
