"episode","actor","time_stamp","description"
52,"Percy","0:41:50","Pistol Sharpshooter against Kevdak (right elbow"
52,"Pike","0:49:02","Spiritual Weapon Attack against Kevdak"
52,"Vex’ahlia","0:57:20","Arrow Sneak Attack against Kevdak"
52,"Grog","2:31:43","Blood Attack Reckless Attack against Kevdak"
52,"Vex’ahlia","2:37:40","Intimidation Check"
52,"Grog","2:54:58","Blood Axe Reckless Attack against Greenbeard"
53,"Scanlan","2:17:11","Strength Check"
54,"Vex’ahlia","3:14:53","Stealth Check with advantage"
54,"Grog","3:17:30","Bloodaxe Reckless Attack against Umbrasyl"
54,"Percy","3:22:30","Wingshot against Umbrasyl"
54,"Vax’ildan","4:04:30","Constitution Save"
55,"Vax’ildan","0:19:13","Dexterity Check"
55,"Percy","0:43:26","Pistol attack with disadvantage (disregarded"
55,"Keyleth","1:51:16","Stealth Check with Pass Without a Trace"
55,"Vax’ildan","1:51:18","Stealth Check with Pass Without a Trace"
55,"Vex’ahlia","2:04:42","Insight Check"
55,"Percy","2:29:31","Initiative Roll"
55,"Percy","2:31:59","Pistol with disadvantage (disregarded"
55,"Vex’ahlia","2:33:27","Arrow through blazing bowstring with disadvantage & War God’s Blessing (disregarded"
55,"Pike","3:12:54","Cast Guiding Bolt (3rd"
55,"Grog","3:20:22","Bloodaxe"
55,"Percy","3:30:21","Dragonslayer Longsword with advantage"
55,"Percy","3:31:30","Dragonslayer Longsword with advantage"
55,"Percy","3:52:45","Dexterity Save"
55,"Percy","3:58:49","Pistol Called Shot"
58,"Vax’ildan","0:28:29","Constitution Save"
58,"Vex’ahlia","1:10:15","Dexterity Check"
59,"Vex’ahlia","1:09:08","Perception Check"
59,"Percy","2:13:54","Tinkering Check"
59,"Pike","2:20:11","Sleight of Hand Check"
60,"Scanlan","1:44:33","Deception with disadvantage (disregarded"
61,"Grog","0:19:44","Decide whether to go into the cave"
61,"Scanlan","0:30:15","Intelligence Check with disadvantage (disregarded"
61,"Vex’ahlia","0:36:38","Survival Check"
61,"Percy","0:59:50","Intelligence Check"
61,"Scanlan","1:01:16","Wisdom Save"
61,"Scanlan","1:01:24","Wisdom Save"
61,"Percy","1:56:37","Stealth Check"
61,"Vax’ildan","2:10:04","Athletics Check with Luck"
61,"Vex’ahlia","2:54:11","Initiative"
61,"Vax’ildan","3:12:25","Dagger against Iotha"
61,"Percy","3:17:58","Deadeye Sharpshooter Bad News against Pixie"
61,"Vex’ahlia","3:20:28","LBoSS against Iotha"
61,"Keyleth","3:28:23","Constitution Save"
61,"Percy","3:35:34","Retort Deadeye Sharpshooter against Pixie"
62,"Percy","1:20:45","Retort Head Shot with disadvantage (disregarded"
62,"Vex’ahlia","1:45:22","Constitution Save"
62,"Percy","1:47:38","Dragonslayer Longsword with disadvantage (disregarded"
62,"Grog","2:15:55","Strength Check"
62,"Scanlan","2:34:55","Stealth Check"
63,"Percy","0:27:31","Athletics Check with advantage"
63,"Vax’ildan","0:31:40","Perception Check with Luck"
63,"Grog","1:05:33","Disappointment Check"
63,"Percy","1:13:52","Bad News Arm Shot against Saundor"
63,"Vex’ahlia","2:16:59","Constitution Save"
63,"Vex’ahlia","2:36:53","LBoSS against Saundor"
63,"Vex’ahlia","3:15:35","Wisdom Save"
64,"Vax’ildan","2:23:14","Acrobatics with disadvantage (disregarded"
64,"Percy","3:19:40","Perception Check"
64,"Percy","3:26:04","Perception Check"
65,"Vex’ahlia","3:25:44","Insight Check"
66,"Scanlan","0:37:55","Constitution Save"
66,"Percy","1:35:34","Intelligence Check"
66,"Vax’ildan","2:04:54","Stealth Check"
66,"Scanlan","2:30:16","Persuasion Check"
66,"Vex’ahlia","3:54:47","Thieves’ Tools"
67,"Vex’ahlia","0:14:08","Survival Check"
67,"Scanlan","1:09:59","History Check"
67,"Vex’ahlia","2:06:19","Persuasion Check"
67,"Keyleth","3:19:21","Dexterity Save with advantage"
67,"Keyleth","3:25:25","Investigation Check"
68,"Keyleth","0:19:42","Intelligence Check"
68,"Grog","0:22:27","Initiative"
68,"Vax’ildan","1:03:31","Perception Check"
68,"Scanlan","1:03:34","Perception Check"
68,"Keyleth","1:21:22","Stealth Check"
68,"Percy","1:49:52","Bad News Dead Eye Shot against Ripley"
68,"Grog","1:51:10","Dexterity Save with advantage"
68,"Grog","1:55:39","Initiative"
68,"Percy","1:56:23","Initiative"
68,"Percy","1:57:31","Concentration Check"
68,"Percy","3:09:20","Dragonslayer Longsword against a stunned Kynan"
68,"Vax’ildan","3:21:20","Athletics Check"
69,"Vex’ahlia","1:12:57","Persuasion Check"
69,"Vex’ahlia","2:05:31","Insight Check"
70,"Percy","1:21:33","Investigation Check"
70,"Vex’ahlia","3:24:40","Perception Check"
71,"Vax’ildan","0:58:42","Stealth Check"
71,"Vex’ahlia","1:05:09","Perception Check"
71,"Vax’ildan","2:18:19","Stealth Check"
71,"Percy","2:54:23","Wing Shot against Vorugal"
71,"Grog","3:57:09","Bloodaxe GWM Reckless Attack against Yenk"
71,"Pike","4:10:09","Death Save"
72,"Grog","1:03:04","Investigation Check"
72,"Grog","2:25:02","Dexterity Save against Keyleth’s Fireball (Spire of Conflux"
73,"Vax’ildan","2:39:54","Perception Check"
75,"Vax’ildan","1:15:12","Perception Check"
75,"Grog","1:20:14","Deception Check"
76,"Keyleth","0:16:10","Initiative"
76,"Percy","1:02:36","Animus Wing Shot against Ghurrix"
76,"Grog","1:11:53","Strength Check with advantage"
76,"Vax’ildan","1:43:23","Constitution Save"
77,"Grog","1:42:03","Dexterity Save with advantage"
77,"Grog","2:03:16","Dexterity Save with advantage"
77,"Scanlan","2:17:11","Constitution Save with advantage (disregarded"
77,"Scanlan","2:17:11","Constitution Save with advantage"
77,"Scanlan","2:17:37","Constitution Save with advantage"
77,"Vax’ildan","2:20:38","Whisper Sneak Attack against FG"
78,"Vax’ildan","2:26:25","Whisper against Kash"
78,"Keyleth","2:54:40","Stealth Check with PWaT"
78,"Scanlan","2:54:42","Stealth Check with PWaT"
78,"Vax’ildan","3:15:58","Investigation Check"
78,"Vex’ahlia","3:22:58","Persuasion Check with disadvantage (disregarded"
78,"Grog","3:55:11","Dexterity Save"
78,"Zahra","3:58:04","Eldritch Agonizing Blast against FG2"
79,"Percy","0:58:23","Bad News with Deadeye against Thordak"
79,"Grog","1:06:58","Dexterity with advantage"
79,"Grog","1:08:03","Bloodaxe Reckless against Thordak"
79,"Vax’ildan","2:12:09","Dragonslayer Sword with Sneak Attack and Divine Smite and HM"
79,"Grog","2:49:37","Bloodaxe Reckless (Unrolled"
79,"Scanlan","3:04:31","Dexterity Save"
79,"Grog","3:13:38","Bloodaxe Thrown Reckless against Thordak"
79,"Vax’ildan","3:18:45","Whisper against Thordak"
80,"Percy","1:25:55","Bad News against Raishan"
80,"Scanlan","1:27:29","Dexterity Save"
80,"Grog","1:41:43","Bloodaxe Thrown Reckless against Raishan"
81,"Percy","2:19:25","History Check"
82,"Keyleth","0:44:33","Stealth Check with PWaT"
82,"Vex’ahlia","0:48:00","Investigation Check with advantage"
82,"Vax’ildan","0:58:02","Perception Check"
82,"Vex’ahlia","1:13:28","Fenthras Oracle Shot"
82,"Keyleth","2:33:10","Flameskull Battle Initiative"
82,"Scanlan","2:33:21","Flameskull Battle Initiative"
82,"Keyleth","2:42:30","Dex Save with advantage"
82,"Vex’ahlia","2:54:09","Fenthras against Flameskull 1"
82,"Pike","3:02:04","Concentration Checks with advantage"
82,"Vax’ildan","3:13:14","Investigation Check"
82,"Vex’ahlia","4:10:35","Dexterity Save"
82,"Percy","4:19:00","Investigation Check"
83,"Pike","0:13:05","Stealth Check with disadvantage (disregarded"
83,"Kerrek","0:13:55","Stealth Check"
83,"Grog","0:53:02","Dwarven Thrower (2 handed"
83,"Vax’ildan","1:30:04","Dexterity Save"
83,"Percy","2:05:15","Animus Deadeye with Cabal’s Ruin"
83,"Grog","2:45:38","Athletics Check"
83,"Keyleth","3:46:08","Perception Check"
84,"Pike","0:38:13","Performance Check with advantage"
85,"Grog","0:42:57","DT GWM with disadvantage (disregarded"
85,"Grog","0:54:43","Constitution Save"
85,"Grog","1:01:32","DT (melee"
85,"Percy","1:57:53","History Check"
86,"Vax’ildan","1:29:34","Whisper (Pommel"
86,"Vex’ahlia","2:27:22","Insight Check"
87,"Taryon","1:43:01","Ring of the Ram against Marid (3 charges"
87,"Vax’ildan","2:04:30","Dexterity Save with advantage"
87,"Vex’ahlia","2:31:36","Insight Check"
88,"Percy","1:30:46","Intelligence Check"
88,"Vax’ildan","2:21:45","Stealth Check with PWaT"
88,"Keyleth","2:25:38","Initiative"
88,"Grog","4:09:57","DT Reckless"
88,"Grog","4:27:30","DT Reckless"
88,"Grog","4:59:35","DT Reckless"
88,"Percy","5:11:45","Persuasion Check with advantage"
89,"Pike","2:48:34","Insight Check"
89,"Grog","2:50:56","Insight Check"
90,"Vax’ildan","1:07:34","Disguise Kit with Luck"
90,"Grog","2:18:48","Persuasion Check"
90,"Taryon","2:33:43","Constitution Save"
90,"Percy","3:20:14","Insight Check"
91,"Percy","1:56:54","Investigation Check"
92,"Keyleth","0:58:21","Investigation Check"
92,"Grog","1:57:42","Wisdom Save with advantage"
92,"Taryon","1:57:43","Wisdom Save with advantage"
92,"Grog","2:07:22","Stealth Check with Pass Without a Trace"
92,"Grog","2:44:31","Stealth Check with Pass Without a Trace with disadvantage (disregarded"
93,"Trinket","0:44:46","Dexterity Save"
93,"Grog","1:35:59","Attack against Bearded Devil 1 with advantage"
93,"Keyleth","1:55:32","Piledrive Utugash (Fire Giant"
93,"Grog","3:46:41","DT Reckless against Bone Devil"
94,"Keyleth","1:07:45","Insight Check"
94,"Trinket","3:44:28","Bite Attack of Opportunity against Gray Render"
95,"Vax’ildan","1:27:39","Sleight of Hand Check"
95,"Pike","2:29:06","Arcana Check"
96,"Doty","3:57:33","Bash against Shade"
96,"Vax’ildan","4:02:20","Dagger of Venom with Divine Smite against Shade"
97,"Vax’ildan","0:54:25","Perception Check"
97,"Grog","1:19:03","Investigation Check"
97,"Percy","1:34:00","Investigation Check"
97,"Vex’ahlia","2:55:53","Stealth Check"
98,"Vex’ahlia","2:48:02","Religion Check"
98,"Grog","3:10:13","Stealth Check with Pass Without a Trace"
98,"Vax’ildan","3:17:36","Wisdom Save (disregarded"
98,"Vax’ildan","3:18:12","Initiative"
98,"Pike","3:19:16","Initiative"
98,"Vax’ildan","3:24:37","Constitution Save"
98,"Pike","3:28:49","Dexterity Save"
98,"Taryon","3:37:46","Dexterity Save with Luck"
98,"Keyleth","3:58:26","Slam Attack against Symphior"
98,"Taryon","4:15:34","Dexterity Save"
98,"Pike","4:19:10","Dexterity Save"
99,"Keyleth","1:54:37","Insight Check"
99,"Lionel","3:03:28","Punch Reckless against Grog"
99,"Lionel","3:28:56","Constitution Save"
100,"Vax’ildan","1:49:53","Investigation Check"
100,"Lionel","3:10:55","Greatsword against Skeleton"
100,"Lionel","3:11:05","Greatsword against Skeleton"
100,"Scanlan","3:25:54","Insight Check"
100,"Scanlan","3:30:07","Stealth Check with PWaT"
100,"Vax’ildan","3:32:50","Dagger of Venom"
100,"Vax’ildan","3:33:34","Investigation Check"
100,"Vex’ahlia","3:43:30","Stealth with PWaT"
100,"Vax’ildan","3:49:05","Intelligence Check"
100,"Keyleth","3:59:42","Initiative"
100,"Grog","4:16:55","Bloodaxe Reckless"
100,"Lionel","4:20:02","Greatsword against Cultist"
100,"Vex’ahlia","4:27:36","Fenthras against Delilah"
100,"Percy","4:36:06","Constitution Save with advantage"
101,"Vex’ahlia","3:00:00","Fenthras Surprise Bramble Shot against Cultist"
102,"Vex’ahlia","0:41:14","Stealth Check with Pass Without a Trace"
102,"Scanlan","0:41:15","Stealth Check with Pass Without a Trace"
102,"Pike","1:18:47","Strength Check"
102,"Vex’ahlia","2:46:08","Constitution Save"
102,"Percy","3:33:12","Animus with Deadeye and Sharpshooter against Delilah"
102,"Percy","3:41:28","Animus with Deadeye and Sharpshooter against Death Knight"
103,"Vex’ahlia","0:43:21","Nature Check"
103,"Pike","1:14:35","Medicine Check"
104,"Scanlan","2:53:23","Investigation Check"
104,"Keyleth","2:53:28","Investigation Check"
105,"Grog","0:58:24","Perception Check"
105,"Grog","2:06:33","Initiative with advantage"
105,"Vax’ildan","2:15:03","Whisper Sneak Attack with advantage"
